,City,Cloudiness,Humidity,Country,Date,Latitude,Longitude,Max Temperature,Wind Speed
274,Clyde River,1,84,CA,1585959807,70.47,-68.59,3.2,21.92
275,Deputatsky,3,82,RU,1585959807,69.3,139.9,-4.27,3.02
276,Bundaberg,69,58,AU,1585959761,-24.85,152.35,82.4,12.75
277,Fort Smith,90,93,US,1585959598,35.39,-94.4,44.01,11.41
278,Libreville,75,94,GA,1585959700,0.39,9.45,78.8,6.93
279,Lundamo,100,74,NO,1585959808,63.13,10.3,30.2,18.34
280,Marawi,5,62,PH,1585959808,8.0,124.29,76.5,1.36
281,Faya,1,72,SA,1585959808,18.39,42.45,62.6,1.86
282,La Serena,40,87,CL,1585959597,-29.91,-71.25,59.0,6.93
283,Redmond,90,61,US,1585959637,47.67,-122.12,48.2,5.82
284,Rio Piracicaba,89,71,BR,1585959808,-19.93,-43.17,71.46,4.79
285,Erenhot,0,40,CN,1585959809,43.65,111.98,36.73,12.1
286,Oodweyne,29,43,SO,1585960299,9.41,45.06,75.31,7.45
287,Caravelas,4,87,BR,1585959809,-17.71,-39.25,80.42,16.44
288,Sungai Penuh,86,71,ID,1585959809,-2.08,101.38,66.92,2.13
289,West Bay,20,78,KY,1585959809,19.37,-81.42,81.0,3.36
290,Ancud,75,81,CL,1585959809,-41.87,-73.82,50.0,5.82
291,Sambava,49,86,MG,1585959809,-14.27,50.17,75.42,8.93
292,Kenai,1,74,US,1585959761,60.55,-151.26,37.4,5.82
293,Fort Nelson,75,32,CA,1585959809,58.81,-122.7,24.8,6.93
294,Faanui,45,71,PF,1585959809,-16.48,-151.75,83.52,8.75
295,General Roca,0,72,AR,1585959809,-39.03,-67.58,62.6,8.41
296,Mtsensk,71,80,RU,1585959810,53.28,36.57,39.24,7.16
297,Santa Isabel,40,63,BR,1585959810,-23.32,-46.22,68.0,3.36
298,Staraya Kulatka,89,68,RU,1585959810,52.72,47.62,39.2,5.5
299,Tabou,100,87,CI,1585959810,4.42,-7.35,80.29,4.9
300,Alta Floresta,57,81,BR,1585959810,-9.88,-56.09,76.28,2.8
301,Norman Wells,75,66,CA,1585959810,65.28,-126.83,10.4,5.82
302,Namatanai,85,75,PG,1585959810,-3.67,152.43,82.27,6.64
303,Cockburn Town,1,72,TC,1585959810,21.46,-71.14,75.67,13.0
304,Pochutla,5,66,MX,1585959810,15.74,-96.47,86.0,11.41
305,Liverpool,88,81,GB,1585959811,53.41,-2.98,48.0,3.36
306,New Albany,1,59,US,1585959810,38.29,-85.82,69.01,1.81
307,Tigil',3,89,RU,1585959811,57.8,158.67,17.22,13.2
308,High Level,75,41,CA,1585959811,58.52,-117.14,21.2,10.29
309,Dudinka,76,84,RU,1585959811,69.41,86.18,8.6,20.13
310,Castel San Pietro Terme,0,70,IT,1585959811,44.4,11.58,45.0,5.82
311,Selma,48,31,US,1585959811,36.57,-119.61,70.0,6.93
312,Bembibre,5,86,ES,1585959811,42.62,-6.42,46.0,5.82
313,Coquimbo,40,87,CL,1585959812,-29.95,-71.34,59.0,6.93
314,Iqaluit,5,69,CA,1585959812,63.75,-68.51,-9.0,25.28
315,Islamkot,0,28,PK,1585959812,24.7,70.18,78.21,4.76
316,Mallāpuram,3,72,IN,1585959812,11.97,78.25,66.74,1.54
317,St. George's,20,83,GD,1585959812,12.06,-61.75,80.6,17.22
318,Surab,58,28,PK,1585959812,28.49,66.26,57.42,5.61
319,Port-Gentil,83,84,GA,1585959812,-0.72,8.78,82.47,12.93
320,Dalnegorsk,100,81,RU,1585959813,44.56,135.57,34.5,7.83
321,Owerri,91,90,NG,1585959813,5.48,7.03,78.82,3.56
322,Laguna,1,19,US,1585959813,38.42,-121.42,69.01,4.7
323,Tamiahua,7,85,MX,1585959813,21.27,-97.45,80.17,10.29
324,Marabá,90,94,BR,1585959813,-5.37,-49.12,78.8,4.7
325,Otofuke,40,60,JP,1585959814,42.99,143.2,39.2,1.12
326,Kahului,1,51,US,1585959814,20.89,-156.47,84.2,10.29
327,Labuhan,57,80,ID,1585959814,-6.88,112.21,81.39,3.91
328,Luwuk,77,68,ID,1585959814,-0.95,122.79,82.81,1.63
329,Hareid,100,88,NO,1585959814,62.37,6.03,33.01,17.22
330,Atar,0,20,MR,1585959815,20.52,-13.05,72.03,4.41
331,Esperance,90,55,AU,1585959815,-33.87,121.9,60.8,6.93
332,Sur,1,59,OM,1585959815,22.57,59.53,79.65,4.5
333,Port Blair,18,72,IN,1585959815,11.67,92.75,81.88,7.72
334,Sakakah,14,26,SA,1585959815,29.97,40.21,60.8,3.36
335,Sabang,94,78,ID,1585959816,5.89,95.32,83.12,12.08
336,Havøysund,40,79,NO,1585959816,71.0,24.66,24.8,35.57
337,Alyangula,13,74,AU,1585959816,-13.85,136.42,86.0,10.29
338,Richards Bay,100,80,ZA,1585959816,-28.78,32.04,71.15,14.29
339,Akdepe,12,81,TM,1585959816,42.06,59.38,48.2,6.93
340,Yershov,0,68,RU,1585959816,51.35,48.28,39.16,6.24
341,Porto Santo,40,93,PT,1585959816,33.07,-16.34,64.4,12.75
342,Santa Cruz de la Sierra,75,69,BO,1585959615,-17.8,-63.17,73.4,5.82
343,Andenes,78,92,NO,1585959817,69.31,16.12,26.01,1.12
344,Ukiah,1,41,US,1585960374,39.15,-123.21,64.99,10.29
345,Nyurba,100,95,RU,1585959817,63.28,118.33,21.94,11.27
346,Otavi,13,57,NA,1585960377,-19.65,17.33,62.29,5.46
347,Kembé,99,84,CF,1585959817,4.62,21.89,71.6,4.94
348,Qasigiannguit,65,50,GL,1585959817,68.82,-51.19,8.6,6.93
349,Aswān,33,32,EG,1585960380,24.09,32.91,69.87,6.58
350,Termez,63,54,UZ,1585959818,37.22,67.28,59.0,9.17
351,Lakatoro,90,83,VU,1585959818,-16.1,167.42,80.6,10.29
352,Vila Franca do Campo,40,87,PT,1585959818,37.72,-25.43,60.8,24.16
353,Puerto Escondido,5,79,MX,1585959818,15.85,-97.07,84.2,13.87
354,Mundi,9,18,IN,1585959818,22.07,76.5,78.66,10.67
355,Sibolga,100,79,ID,1585959818,1.74,98.78,78.28,3.02
356,Sisimiut,88,90,GL,1585959818,66.94,-53.67,8.35,12.44
357,Nishihara,90,93,JP,1585959818,26.18,127.76,68.0,6.93
358,Łęczna,9,64,PL,1585959819,51.3,22.88,35.01,4.7
359,Omboué,85,87,GA,1585959819,-1.57,9.26,80.04,9.4
360,Majene,100,74,ID,1585959819,-3.54,118.97,81.23,4.47
361,Trairi,100,83,BR,1585959558,-3.28,-39.27,80.31,7.56
362,Tokur,90,88,RU,1585959819,53.13,132.9,15.85,4.81
363,Itoman,75,94,JP,1585959819,26.12,127.67,68.0,8.05
364,Ixtapa,5,54,MX,1585959819,20.7,-105.2,78.8,9.17
365,Requena,31,93,ES,1585959819,39.49,-1.1,54.0,9.17
366,Kazanskaya,23,79,RU,1585959820,45.41,40.44,41.7,3.4
367,Bondoukou,28,72,CI,1585959820,8.03,-2.8,78.06,7.61
368,Sechelt,75,53,CA,1585959820,49.47,-123.77,48.99,5.82
369,Pontes e Lacerda,57,88,BR,1585959820,-15.23,-59.34,74.19,1.81
370,Amalāpuram,3,93,IN,1585959820,16.58,82.02,74.08,0.65
371,Pleshanovo,99,88,RU,1585959605,52.83,53.48,33.8,7.29
372,Chicama,11,70,PE,1585959820,-7.84,-79.15,75.45,6.89
373,Katsuura,72,76,JP,1585959820,35.13,140.3,63.0,4.7
374,Őcsény,1,67,HU,1585959821,46.31,18.76,43.3,5.61
375,Riachão das Neves,72,73,BR,1585959821,-11.75,-44.91,73.29,2.17
376,Tiksi,63,85,RU,1585959821,71.69,128.87,8.06,12.39
377,Tezu,78,56,IN,1585959821,27.92,96.17,66.18,5.14
378,Abu Dhabi,0,50,AE,1585959631,24.47,54.37,79.0,1.12
379,Talara,42,77,PE,1585959821,-4.58,-81.27,75.65,7.96
380,Iralaya,20,74,HN,1585959821,15.0,-83.23,80.6,5.82
381,River Falls,90,79,US,1585959822,44.86,-92.62,30.2,9.57
382,Vanimo,81,74,PG,1585959822,-2.67,141.3,82.76,5.3
383,St Albans,37,80,GB,1585960255,51.75,-0.33,45.0,5.82
384,Dwārāhāt,18,28,IN,1585960425,29.78,79.43,52.27,4.18
385,Tessalit,52,14,ML,1585960426,20.2,1.01,77.7,4.99
386,Bandarbeyla,98,71,SO,1585960427,9.49,50.81,79.43,8.43
387,Ikongo,28,81,MG,1585960428,-21.88,47.43,62.4,2.06
388,Shemonaīkha,92,77,KZ,1585960429,50.63,81.91,36.27,3.74
389,Olafsvik,100,91,IS,1585960430,64.89,-23.71,25.02,35.16
390,Alekseyevsk,100,85,RU,1585960431,57.84,108.35,39.31,8.52
391,Satka,97,80,RU,1585960433,55.04,59.04,31.75,5.3
392,Ossora,0,87,RU,1585960434,59.24,163.07,15.58,19.24
393,Porto Murtinho,9,40,BR,1585960435,-21.7,-57.88,68.49,3.89
394,Khanbari,0,20,NP,1585960436,27.37,87.2,62.11,5.03
395,Russell,40,68,US,1585960439,32.35,-85.2,73.4,4.03
396,Buchanan,75,94,LR,1585960440,5.88,-10.05,80.6,5.3
397,Ayagoz,61,57,KZ,1585960442,47.97,80.44,36.1,9.82
398,Jacqueville,88,94,CI,1585960443,5.21,-4.41,82.4,4.7
399,Linqing,53,40,CN,1585960444,36.85,115.71,53.11,19.86
400,Wukari,78,65,NG,1585960445,7.85,9.78,84.92,9.37
401,Ginda,60,25,IN,1585960446,30.69,78.49,45.41,7.14
402,Vardø,100,78,NO,1585960448,70.37,31.11,15.8,11.41
403,Murray Bridge,47,69,AU,1585960449,-35.12,139.27,62.01,11.01
404,Kerman,28,40,IR,1585960450,30.28,57.08,53.6,11.41
405,Vidim,98,80,RU,1585960451,56.41,103.11,39.33,8.52
406,Fairbanks,90,80,US,1585960252,64.84,-147.72,36.0,4.7
407,Gawler,75,55,AU,1585960453,-34.6,138.73,64.0,24.16
408,Lokosovo,15,97,RU,1585960454,61.13,74.82,27.23,9.64
409,Seminole,1,60,US,1585960455,28.71,-81.21,75.99,8.05
410,San-Pédro,94,88,CI,1585960459,4.75,-6.64,80.33,5.57
411,Kavaratti,15,74,IN,1585960462,10.57,72.64,82.56,8.57
412,Nuuk,0,61,GL,1585960465,64.18,-51.72,15.8,29.97
413,Viedma,0,32,AR,1585960466,-40.81,-63.0,67.55,19.44
414,Beringovskiy,100,96,RU,1585960467,63.05,179.32,15.01,23.51
415,Boysun,49,31,UZ,1585960471,38.21,67.2,50.94,4.52
416,Bluefield,1,30,US,1585960472,37.27,-81.22,59.0,9.17
417,Monterey,1,50,US,1585960432,36.25,-121.25,64.0,13.87
418,Mbanza-Ngungu,89,80,CD,1585960474,-5.25,14.87,70.61,2.71
419,Erdenet,20,34,MN,1585960475,49.03,104.08,38.64,3.18
420,Hobyo,60,74,SO,1585960476,5.35,48.53,81.84,12.66
421,Las Choapas,40,79,MX,1585960477,17.93,-94.08,86.0,11.41
422,Iwaki,40,100,JP,1585960479,37.05,140.88,61.0,8.05
423,Otorohanga,0,44,NZ,1585960480,-38.18,175.2,73.0,1.01
424,Calhoun,1,26,US,1585960481,42.25,-85.0,62.6,5.59
425,Jutaí,94,89,BR,1585960482,-5.18,-68.9,76.14,1.5
426,Kushima,75,67,JP,1585960483,31.46,131.23,62.6,5.82
427,Dalbandin,60,23,PK,1585960484,28.89,64.41,70.36,1.48
428,Waipawa,82,72,NZ,1585960485,-41.41,175.52,66.0,10.29
429,Mahon,0,71,ES,1585960486,39.89,4.27,50.0,6.93
430,Rantepao,100,72,ID,1585960488,-2.97,119.9,68.76,1.61
431,Businga,100,87,CD,1585960489,3.33,20.88,72.79,3.76
432,Port Macquarie,80,73,AU,1585960490,-31.43,152.92,77.0,4.7
433,Gus'-Khrustal'nyy,79,75,RU,1585960491,55.61,40.65,39.36,7.96
434,Nabire,67,77,ID,1585960392,-3.37,135.48,81.59,1.12
435,Khani,90,93,GE,1585960493,41.96,42.96,50.0,4.7
436,Baní,19,88,DO,1585960494,18.28,-70.33,80.01,3.91
437,Constitución,50,58,CL,1585960495,-35.33,-72.42,60.35,11.36
438,Salinas,1,50,US,1585960496,36.68,-121.66,64.99,13.87
439,Turaif,1,71,SA,1585960497,31.67,38.66,53.6,3.36
440,Zeya,0,86,RU,1585960439,53.75,127.27,17.65,5.41
441,Glendive,1,51,US,1585960500,47.11,-104.71,37.99,11.41
442,Prince Rupert,1,38,CA,1585960501,54.32,-130.32,39.2,5.82
443,Japura,92,96,ID,1585960502,-0.32,102.35,75.47,1.81
444,Aksu,45,36,CN,1585960503,41.12,80.26,46.38,4.65
445,Ahipara,1,62,NZ,1585960505,-35.17,173.17,69.26,7.29
446,Puttūr,40,78,IN,1585960506,12.77,75.22,82.4,2.3
447,Quesnel,1,28,CA,1585960423,53.0,-122.5,28.4,5.82
448,Umluj,58,42,SA,1585960508,25.02,37.27,74.75,8.84
449,Pamanukan,73,79,ID,1585960509,-6.28,107.81,81.18,3.33
450,Honiara,75,66,SB,1585960511,-9.43,159.95,87.8,9.17
451,Kitimat,90,27,CA,1585960512,54.05,-128.65,39.2,6.93
452,Fort-Shevchenko,3,74,KZ,1585960513,44.51,50.26,43.9,5.19
453,Santiago,5,52,CL,1585960431,-33.46,-70.65,68.0,10.29
454,Quzhou,100,87,CN,1585960262,28.96,118.87,52.12,0.76
455,Praia,20,73,CV,1585960517,14.92,-23.51,73.4,17.22
456,Winona,90,92,US,1585960251,43.97,-91.77,32.0,5.82
457,Ngawen,33,85,ID,1585960521,-7.0,111.31,78.94,2.57
458,Auki,89,80,SB,1585960522,-8.77,160.7,82.27,14.76
459,Kamenka,8,65,RU,1585960523,51.32,42.77,39.97,9.15
460,Bonthe,78,83,SL,1585960524,7.53,-12.51,82.24,7.45
461,Mount Gambier,90,87,AU,1585960269,-37.83,140.77,50.0,16.11
462,Gari,0,97,RU,1585960529,59.43,62.35,30.61,8.95
463,Khorixas,55,34,NA,1585960530,-20.37,14.97,75.54,4.85
464,Athabasca,94,88,CA,1585960531,54.72,-113.29,19.31,5.82
465,Ambilobe,49,89,MG,1585960532,-13.2,49.05,74.77,1.68
466,Mawlaik,21,48,MM,1585960533,23.63,94.42,72.77,1.28
467,Tashtagol,98,79,RU,1585960534,52.77,87.89,39.15,0.56
468,Miyako,2,65,JP,1585960535,39.64,141.95,53.2,15.08
469,Sāveh,65,34,IR,1585960536,35.02,50.36,56.66,8.34
470,Isangel,100,84,VU,1585960309,-19.55,169.27,78.94,6.58
471,Marhaura,0,67,IN,1585960539,25.97,84.87,62.6,6.31
472,Jasper,90,93,US,1585960540,37.2,-94.35,36.0,9.17
473,Grand Gaube,75,94,MU,1585960541,-20.01,57.66,75.2,3.36
474,Witu,31,82,KE,1585960542,-2.39,40.44,79.65,6.55
475,Daru,10,66,PG,1585960543,-9.08,143.21,84.25,4.21
476,Bogotol,64,96,RU,1585960544,56.21,89.53,28.06,3.09
477,Byron Bay,40,65,AU,1585960545,-28.65,153.62,82.99,10.29
478,Waingapu,49,71,ID,1585960546,-9.66,120.26,82.85,4.65
479,Menongue,100,65,AO,1585960548,-14.66,17.69,63.82,5.91
480,Anchorage,90,74,US,1585960306,61.22,-149.9,39.2,4.7
481,São Félix do Xingu,91,89,BR,1585960550,-6.64,-51.99,75.61,1.12
482,Villa Carlos Paz,3,82,AR,1585960551,-31.42,-64.5,66.0,8.05
483,Muhafazat Lahij,0,69,YE,1585960552,13.17,44.58,75.22,7.31
484,Coos Bay,20,70,US,1585960553,43.37,-124.22,51.01,8.05
485,Rosarito,5,68,MX,1585960554,32.33,-117.03,66.2,6.93
486,Togur,0,98,RU,1585960555,58.36,82.83,26.51,4.5
487,Leshukonskoye,100,94,RU,1585960557,64.9,45.76,33.67,9.75
488,Rapid Valley,1,63,US,1585960558,44.06,-103.15,34.0,13.87
489,Maumere,67,69,ID,1585960559,-8.62,122.21,83.7,2.35
490,Puerto Madryn,10,19,AR,1585960560,-42.77,-65.04,73.26,7.83
491,Austin,90,87,US,1585960127,30.27,-97.74,57.2,4.7
492,Kutum,63,14,SD,1585960562,14.2,24.67,72.39,8.66
493,Pahrump,1,15,US,1585960516,36.21,-115.98,70.0,5.7
494,Mahenge,76,77,TZ,1585960564,-8.68,36.72,63.28,2.89
495,Mana,91,85,GF,1585960565,5.66,-53.78,77.67,8.95
496,Mattru,85,85,SL,1585960566,7.62,-11.83,79.72,1.9
497,Masallātah,78,76,LY,1585960568,32.62,14.0,55.99,15.1
498,Boulder,90,48,US,1585960569,40.08,-105.35,46.4,5.82
499,Samarinda,99,91,ID,1585960570,-0.5,117.15,78.31,4.45
500,Antalaha,28,82,MG,1585960571,-14.9,50.28,77.23,14.43
501,Sekoma,78,48,BW,1585960572,-24.4,23.88,62.69,9.84
502,Peleduy,100,87,RU,1585960573,59.63,112.74,32.79,10.98
503,Fare,27,69,PF,1585960574,-16.7,-151.02,84.74,8.16
504,Saldanha,0,63,ZA,1585960578,-33.01,17.94,64.4,10.29
505,Wau,26,30,SS,1585960579,7.7,28.0,79.34,2.26
506,Cabo San Lucas,40,41,MX,1585960580,22.89,-109.91,82.99,8.05
507,Kuito,99,60,AO,1585960581,-12.38,16.93,61.09,2.04
508,Poum,51,81,NC,1585960582,-20.23,164.02,80.26,15.14
509,Jalu,13,17,LY,1585960583,29.03,21.55,79.29,23.47
510,Pingyin,82,39,CN,1585960584,36.28,116.45,54.72,12.75
511,Moyale,51,59,KE,1585960585,3.52,39.06,68.77,2.66
512,Mbigou,93,82,GA,1585960586,-1.9,11.91,71.65,3.49
513,Boguchany,39,94,RU,1585960587,58.38,97.45,29.48,6.89
514,Khovd,100,42,MN,1585960589,48.01,91.64,31.46,5.66
515,Tevaitoa,33,71,PF,1585960590,-16.78,-151.5,84.63,8.88
516,Hurghada,0,28,EG,1585960387,27.26,33.81,69.8,6.93
517,Atasū,14,70,KZ,1585960592,48.68,71.64,41.45,8.55
518,Litovko,92,77,RU,1585960593,49.24,135.17,34.34,20.33
519,Rawson,18,27,AR,1585960594,-43.3,-65.1,73.8,15.59
520,Valparaíso,12,87,CL,1585960595,-33.04,-71.63,57.2,5.12
521,Ternate,6,73,ID,1585960596,0.8,127.4,82.85,2.75
522,Oddur,85,61,SO,1585960597,4.12,43.89,76.46,14.0
523,Xianyang,80,81,CN,1585960598,34.34,108.7,55.0,2.24
524,Kolokani,0,14,ML,1585960600,13.57,-8.03,84.94,9.26
525,Srednekolymsk,64,89,RU,1585960601,67.45,153.68,-2.24,6.96
526,Kununurra,13,59,AU,1585960602,-15.77,128.73,89.6,8.05
527,Merke,11,38,KZ,1585960603,42.87,73.18,48.06,5.53
528,Sumé,90,76,BR,1585960604,-7.67,-36.88,74.32,7.2
529,Qinzhou,100,87,CN,1585960382,21.95,108.62,62.73,11.72
530,Sawākin,32,58,SD,1585960606,19.11,37.33,75.67,11.1
531,Crestview,1,49,US,1585960352,30.76,-86.57,69.8,5.82
532,Aksaray,3,49,TR,1585960608,38.37,34.03,39.0,3.56
533,Stephenville,90,86,US,1585960470,32.22,-98.2,44.6,13.87
534,Havre-St-Pierre,90,86,CA,1585960611,50.23,-63.6,30.2,8.05
535,Inuvik,20,40,CA,1585960488,68.35,-133.72,15.8,4.7
536,Palmer,90,76,US,1585960613,42.16,-72.33,48.99,13.87
537,Madingou,87,87,CG,1585960614,-4.15,13.55,75.87,0.18
538,Bonnyville,75,34,CA,1585960555,54.27,-110.73,21.2,3.78
539,Djibouti,75,78,DJ,1585960616,11.5,42.5,82.4,5.82
540,Xai-Xai,100,89,MZ,1585960617,-25.05,33.64,70.43,6.49
541,Dubbo,40,63,AU,1585960340,-32.25,148.62,64.4,21.92
542,Mīzan Teferī,95,55,ET,1585960619,6.98,35.58,65.28,3.31
543,Chimbote,2,79,PE,1585960621,-9.09,-78.58,73.29,7.61
544,Kroya,90,81,ID,1585960622,-7.63,109.25,80.42,2.44
545,Turangi,0,38,NZ,1585960623,-39.0,175.93,65.32,4.0
546,Quatre Cocos,75,94,MU,1585960624,-20.21,57.76,75.2,3.36
547,Daman,0,65,IN,1585960625,20.42,72.85,77.56,2.59
548,Tisul',53,95,RU,1585960626,55.76,88.31,29.66,2.28
549,Banda Aceh,97,83,ID,1585960627,5.56,95.32,80.15,7.78
550,Barhi,32,17,IN,1585960628,23.9,80.8,74.48,2.71
551,Burnie,100,70,AU,1585960629,-41.07,145.92,61.0,14.0
552,Shitkino,100,82,RU,1585960630,56.37,98.35,36.3,7.36
